City,Neighbourhood,count,Latitude,Longitude
paris,Buttes-Montmartre,2265,48.88238,2.33831
paris,Louvre,637,48.86033,2.34005
bangkok,Khlong Toei,1345,13.73378,100.56303
bangkok,Nong Chok,1,13.83601,100.83202
newyork,Bedford-Stuyvesant,4051,40.68462,-73.93839
newyork,Woodrow,142,40.53777,-74.20674
london,Westminster,1526,51.52195,-0.14094
london,Sutton,1,51.36578751,-0.193367004
hongkong,Yau Tsim Mong,753,22.32579,114.16701
hongkong,Kwai Tsing,2,22.35544,114.10726
singapore,Kallang,170,1.3092,103.86339
singapore,Ang Mo Kio,3,1.36747,103.83865
instanbul,Beyoglu,5319,41.03254,28.98153
instanbul,Sultanbeyli,10,40.93624,29.28133
